"Time Pattern Regime ID","Day of the Week ID","Start Day","Start Month","End Day","End Month","Start Time","End Time"
"00001","1","1","1","31","12","00:00","24:00"
"00001","2","1","1","31","12","00:00","24:00"
"00001","3","1","1","31","12","00:00","24:00"
"00001","4","1","1","31","12","00:00","24:00"
"00001","5","1","1","31","12","00:00","24:00"
"00001","6","1","1","31","12","00:00","24:00"
"00001","7","1","1","31","12","00:00","24:00"
"00003","1","1","1","29","2","04:00","14:30"
"00003","1","1","1","29","2","19:00","23:00"
"00003","1","1","3","31","10","00:00","24:00"
"00003","1","1","11","31","12","04:00","14:30"
"00003","1","1","11","31","12","19:00","23:00"
"00003","2","1","1","29","2","04:00","14:30"
"00003","2","1","1","29","2","19:00","23:00"
"00003","2","1","3","31","10","00:00","24:00"
"00003","2","1","11","31","12","04:00","14:30"
"00003","2","1","11","31","12","19:00","23:00"
"00003","3","1","1","29","2","04:00","14:30"
"00003","3","1","1","29","2","19:00","23:00"
"00003","3","1","3","31","10","00:00","24:00"
"00003","3","1","11","31","12","04:00","14:30"
"00003","3","1","11","31","12","19:00","23:00"
"00003","4","1","1","29","2","04:00","14:30"
"00003","4","1","1","29","2","19:00","23:00"
"00003","4","1","3","31","10","00:00","24:00"
"00003","4","1","11","31","12","04:00","14:30"
"00003","4","1","11","31","12","19:00","23:00"
"00003","5","1","1","29","2","04:00","14:30"
"00003","5","1","1","29","2","19:00","23:00"
"00003","5","1","3","31","10","00:00","24:00"
"00003","5","1","11","31","12","04:00","14:30"
"00003","5","1","11","31","12","19:00","23:00"
"00003","6","1","1","29","2","04:00","14:30"
"00003","6","1","1","29","2","19:00","23:00"
"00003","6","1","3","31","10","00:00","24:00"
"00003","6","1","11","31","12","04:00","14:30"
"00003","6","1","11","31","12","19:00","23:00"
"00003","7","1","1","29","2","04:00","14:30"
"00003","7","1","1","29","2","19:00","23:00"
"00003","7","1","3","31","10","00:00","24:00"
"00003","7","1","11","31","12","04:00","14:30"
"00003","7","1","11","31","12","19:00","23:00"
"00004","1","1","1","29","2","00:00","07:00"
"00004","1","1","1","29","2","11:00","13:30"
"00004","1","1","1","29","2","19:00","24:00"
"00004","1","1","3","31","10","00:00","24:00"
"00004","1","1","11","31","12","00:00","07:00"
"00004","1","1","11","31","12","11:00","13:30"
"00004","1","1","11","31","12","19:00","24:00"
"00004","2","1","1","29","2","00:00","07:00"
"00004","2","1","1","29","2","11:00","13:30"
"00004","2","1","1","29","2","19:00","24:00"
"00004","2","1","3","31","10","00:00","24:00"
"00004","2","1","11","31","12","00:00","07:00"
"00004","2","1","11","31","12","11:00","13:30"
"00004","2","1","11","31","12","19:00","24:00"
"00004","3","1","1","29","2","00:00","07:00"
"00004","3","1","1","29","2","11:00","13:30"
"00004","3","1","1","29","2","19:00","24:00"
"00004","3","1","3","31","10","00:00","24:00"
"00004","3","1","11","31","12","00:00","07:00"
"00004","3","1","11","31","12","11:00","13:30"
"00004","3","1","11","31","12","19:00","24:00"
"00004","4","1","1","29","2","00:00","07:00"
"00004","4","1","1","29","2","11:00","13:30"
"00004","4","1","1","29","2","19:00","24:00"
"00004","4","1","3","31","10","00:00","24:00"
"00004","4","1","11","31","12","00:00","07:00"
"00004","4","1","11","31","12","11:00","13:30"
"00004","4","1","11","31","12","19:00","24:00"
"00004","5","1","1","29","2","00:00","07:00"
"00004","5","1","1","29","2","11:00","13:30"
"00004","5","1","1","29","2","19:00","24:00"
"00004","5","1","3","31","10","00:00","24:00"
"00004","5","1","11","31","12","00:00","07:00"
"00004","5","1","11","31","12","11:00","13:30"
"00004","5","1","11","31","12","19:00","24:00"
"00004","6","1","1","29","2","00:00","07:00"
"00004","6","1","1","29","2","11:00","13:30"
"00004","6","1","1","29","2","19:00","24:00"
"00004","6","1","3","31","10","00:00","24:00"
"00004","6","1","11","31","12","00:00","07:00"
"00004","6","1","11","31","12","11:00","13:30"
"00004","6","1","11","31","12","19:00","24:00"
"00004","7","1","1","29","2","00:00","07:00"
"00004","7","1","1","29","2","11:00","13:30"
"00004","7","1","1","29","2","19:00","24:00"
"00004","7","1","3","31","10","00:00","24:00"
"00004","7","1","11","31","12","00:00","07:00"
"00004","7","1","11","31","12","11:00","13:30"
"00004","7","1","11","31","12","19:00","24:00"
"00005","1","1","1","31","12","08:30","16:00"
"00005","1","1","1","31","12","19:00","20:00"
"00005","2","1","1","31","12","08:30","16:00"
"00005","2","1","1","31","12","19:00","20:00"
"00005","3","1","1","31","12","08:30","16:00"
"00005","3","1","1","31","12","19:00","20:00"
"00005","4","1","1","31","12","08:30","16:00"
"00005","4","1","1","31","12","19:00","20:00"
"00005","5","1","1","31","12","08:30","16:00"
"00005","5","1","1","31","12","19:00","20:00"
"00006","1","1","1","31","3","00:00","08:00"
"00006","1","1","1","31","3","13:00","16:00"
"00006","1","1","1","31","3","19:30","24:00"
